input_grievance_id,input_category,input_submission_timestamp,input_student_room_no,input_hostel_name,input_floor_number,input_staff_data,input_floor_metrics,input_student_availability,output_assigned_staff_id,output_assignment_timestamp,output_expected_resolution_time
G12346,electricity,2023-10-02T08:15:00Z,204,bh2,2,"[{""staff_id"":""S67890"",""department"":""electricity"",""current_workload"":3,""availability_status"":""Available"",""past_resolution_rate"":0.95},{""staff_id"":""S67891"",""department"":""electricity"",""current_workload"":2,""availability_status"":""Available"",""past_resolution_rate"":0.90}]","{""number_of_requests"":15,""total_delays"":1}","[{""student_id"":""STU204"",""time_slot"":""08:00-10:00"",""availability_status"":""Unavailable""},{""student_id"":""STU204"",""time_slot"":""10:00-12:00"",""availability_status"":""Available""}]",S67890,2023-10-02T08:16:00Z,1 hour
G12347,plumbing,2023-10-02T09:30:00Z,105,gh1,1,"[{""staff_id"":""S67891"",""department"":""plumber"",""current_workload"":2,""availability_status"":""Available"",""past_resolution_rate"":0.90},{""staff_id"":""S67892"",""department"":""plumber"",""current_workload"":1,""availability_status"":""Available"",""past_resolution_rate"":0.92}]","{""number_of_requests"":8,""total_delays"":0}","[{""student_id"":""STU105"",""time_slot"":""09:00-11:00"",""availability_status"":""Available""},{""student_id"":""STU105"",""time_slot"":""11:00-13:00"",""availability_status"":""Unavailable""}]",S67892,2023-10-02T09:31:00Z,2 hours
G12348,furniture,2023-10-02T10:45:00Z,301,bh1,3,"[{""staff_id"":""S67893"",""department"":""furniture"",""current_workload"":0,""availability_status"":""Available"",""past_resolution_rate"":0.88},{""staff_id"":""S67894"",""department"":""furniture"",""current_workload"":1,""availability_status"":""Available"",""past_resolution_rate"":0.85}]","{""number_of_requests"":5,""total_delays"":1}","[{""student_id"":""STU301"",""time_slot"":""10:00-12:00"",""availability_status"":""Available""},{""student_id"":""STU301"",""time_slot"":""12:00-14:00"",""availability_status"":""Available""}]",S67893,2023-10-02T10:46:00Z,3 hours
G12349,cleaning,2023-10-02T11:20:00Z,402,gh2,4,"[{""staff_id"":""S67895"",""department"":""cleaning"",""current_workload"":4,""availability_status"":""Busy"",""past_resolution_rate"":0.93},{""staff_id"":""S67896"",""department"":""cleaning"",""current_workload"":2,""availability_status"":""Available"",""past_resolution_rate"":0.91}]","{""number_of_requests"":20,""total_delays"":2}","[{""student_id"":""STU402"",""time_slot"":""11:00-13:00"",""availability_status"":""Available""}]",S67896,2023-10-02T11:21:00Z,1 hour
G12350,internet,2023-10-02T12:05:00Z,203,bh3,2,"[{""staff_id"":""S67897"",""department"":""it"",""current_workload"":1,""availability_status"":""Available"",""past_resolution_rate"":0.94},{""staff_id"":""S67898"",""department"":""it"",""current_workload"":3,""availability_status"":""Available"",""past_resolution_rate"":0.89}]","{""number_of_requests"":10,""total_delays"":1}","[{""student_id"":""STU203"",""time_slot"":""12:00-14:00"",""availability_status"":""Available""},{""student_id"":""STU203"",""time_slot"":""14:00-16:00"",""availability_status"":""Unavailable""}]",S67897,2023-10-02T12:06:00Z,2 hours
G12351,cleaning,2023-10-02T13:00:00Z,501,gh3,5,[{S67899,cleaning,2,Available,0.92},{S67900,cleaning,1,Available,0.94}],{18,2},[{STU501,13:00-15:00,Available},{STU501,15:00-17:00,Unavailable}],S67900,2023-10-02T13:01:00Z,1.5 hours
G12352,electricity,2023-10-02T14:30:00Z,102,bh4,1,[{S67901,electricity,3,Busy,0.91},{S67902,electricity,1,Available,0.93}],{12,1},[{STU102,14:00-16:00,Available},{STU102,16:00-18:00,Available}],S67902,2023-10-02T14:31:00Z,1 hour
G12353,plumbing,2023-10-02T15:45:00Z,305,gh2,3,[{S67903,plumber,2,Available,0.89},{S67904,plumber,0,Available,0.95}],{7,0},[{STU305,15:00-17:00,Unavailable},{STU305,17:00-19:00,Available}],S67904,2023-10-02T15:46:00Z,2 hours
G12354,furniture,2023-10-02T16:20:00Z,401,bh1,4,[{S67905,furniture,1,Available,0.87},{S67906,furniture,2,Available,0.90}],{9,1},[{STU401,16:00-18:00,Available},{STU401,18:00-20:00,Unavailable}],S67905,2023-10-02T16:21:00Z,2.5 hours
G12355,internet,2023-10-02T17:10:00Z,202,gh4,2,[{S67907,it,4,Busy,0.93},{S67908,it,2,Available,0.91}],{14,2},[{STU202,17:00-19:00,Available},{STU202,19:00-21:00,Available}],S67908,2023-10-02T17:11:00Z,1.5 hours
